n_shots,classifier,trial,accuracy,macro_f1,roc_auc,time_s
8,Nearest Centroid,1,0.6115916955017301,0.5836649243696351,0.8048474039885644,0.05725908279418945
8,Nearest Centroid,2,0.5856401384083045,0.5534952528846345,0.757607804847953,0.0629415512084961
8,Nearest Centroid,3,0.6747404844290658,0.6283218478870615,0.7768009543822842,0.05881309509277344
8,Nearest Centroid,4,0.6825259515570934,0.6307439146769392,0.785880897559472,0.05995512008666992
8,Nearest Centroid,5,0.6038062283737025,0.5517515372204026,0.7638309285322333,0.05593228340148926
8,Nearest Centroid,6,0.6211072664359861,0.5837832232454151,0.7763304980404516,0.055991411209106445
8,Nearest Centroid,7,0.6911764705882353,0.6310580111585766,0.7977248578078971,0.06014394760131836
8,Nearest Centroid,8,0.7058823529411765,0.6513403419344014,0.7988307576296247,0.05990719795227051
8,Nearest Centroid,9,0.6591695501730104,0.6001665267447663,0.779964335990226,0.06126856803894043
16,Logistic Regression,0,0.6872791519434629,0.6600366726452465,0.8154236482928623,0.07859301567077637
16,Logistic Regression,1,0.6590106007067138,0.628403557004436,0.8049541629435827,0.06734633445739746
16,Logistic Regression,2,0.6537102473498233,0.645271629778672,0.8328637282260272,0.06815409660339355
16,Logistic Regression,3,0.6598939929328622,0.6125003772031855,0.791229731418729,0.08440876007080078
16,Logistic Regression,4,0.5795053003533569,0.5505527121417093,0.752024252715955,0.06584429740905762
16,Logistic Regression,5,0.6784452296819788,0.6528161498844515,0.8156826419362375,0.05829954147338867
16,Logistic Regression,6,0.6068904593639576,0.6027960326642442,0.8365697756997147,0.05722808837890625
16,Logistic Regression,7,0.6934628975265018,0.6628246723019284,0.8174157272177938,0.05893373489379883
16,Logistic Regression,8,0.6802120141342756,0.6560585984695448,0.8196090692399757,0.06064629554748535
16,Logistic Regression,9,0.661660777385159,0.6371718402587424,0.8100067953018041,0.06146121025085449
16,Decision Tree,0,0.6342756183745583,0.5741770120508739,0.6860655548201231,0.042987823486328125
16,Decision Tree,1,0.49469964664310956,0.45711243179713484,0.5786326951135035,0.047606468200683594
16,Decision Tree,2,0.5362190812720848,0.48515771739254143,0.6055553432956092,0.04607820510864258
16,Decision Tree,3,0.45141342756183744,0.4402764095857589,0.6069225222733649,0.04919552803039551
16,Decision Tree,4,0.5848056537102474,0.5499078228326463,0.6769067576306668,0.049386024475097656
16,Decision Tree,5,0.5,0.4791559942800014,0.6137879460181468,0.04891371726989746
16,Decision Tree,6,0.5768551236749117,0.5641833232327159,0.6953342128131248,0.042057037353515625
16,Decision Tree,7,0.4717314487632509,0.45700120988842574,0.5773176760025103,0.04176044464111328
16,Decision Tree,8,0.4584805653710247,0.44558619156837936,0.6079682486376349,0.04744887351989746
16,Decision Tree,9,0.48939929328621906,0.4631727803488497,0.6283918892194115,0.03957176208496094
16,Random Forest,0,0.6925795053003534,0.6484096060755099,0.8115165571839128,1.240485668182373
16,Random Forest,1,0.6749116607773852,0.6501712821317435,0.8330083579864154,1.2153074741363525
16,Random Forest,2,0.661660777385159,0.6458354464302344,0.8199697453670532,1.2029554843902588
16,Random Forest,3,0.6828621908127208,0.6239927922419141,0.7938772214904577,1.2102429866790771
16,Random Forest,4,0.5662544169611308,0.5668941073410053,0.8062343016264228,1.259289264678955
16,Random Forest,5,0.6784452296819788,0.6365941552963448,0.8043621041050996,1.2156448364257812
16,Random Forest,6,0.6263250883392226,0.5960069588339748,0.7931511481715043,1.2117056846618652
16,Random Forest,7,0.6802120141342756,0.6524817617433989,0.8235373123212719,1.1844232082366943
16,Random Forest,8,0.651060070671378,0.6269358875755922,0.8178020859972073,1.2889502048492432
16,Random Forest,9,0.7120141342756183,0.6814992459293507,0.8118640022307633,1.179870367050171
16,SVM (RBF),0,0.6722614840989399,0.6155069210624766,0.7967081124403227,0.0958094596862793
16,SVM (RBF),1,0.6395759717314488,0.6078726579012944,0.8070753559453491,0.1003882884979248
16,SVM (RBF),2,0.6174911660777385,0.6068289649428008,0.8165372645443743,0.10307145118713379
16,SVM (RBF),3,0.6828621908127208,0.6175751593261373,0.7716081228621207,0.10011863708496094
